rating,title
1,Not Meant For Country Folks
1,I don't know how this phone works......
1,No good
4,Samsung R355c Net 10 Phone
1,No Battery Included
4,Battery is great!
3,Three Stars
4,One hell of a deal for only $9.99 here at Amazon!
5,Good phone
1,Don't buy from this person one of the phone was ...
5,Lotsa phone for not a lotta moolah
4,Overall a very good phone.
5,Really impressed with the phone and Windows 7.5
4,Good Start
4,A great travel and backup phone
4,Excellent Phone
1,Disappointed with phone and Microsoft
4,Another good samsung product
5,Highly satisfied... again
5,Awesome deal
5,This is the most undervalued phone on Amazon
5,GET ONE!
5,First time unlocked buyer
3,"Great Hardware, Good OS, Terrible Market"
5,Update
5,great gadget!!
5,very pleased!!
4,Good phone
4,good for first timers
5,What an excellent phone
1,Total crap
4,Great phone with a few problems
2,Battery would not take a charge so I had to return it.
4,good phone after I tweaked it
5,Great Sound on Calls
4,Windows phone Killz*
3,Faulty capacitive buttons
1,Most of what he didn't like was Windows related
1,Do Not Buy This Phone!
3,"the windows experience is 5 star , the focus is not."
2,"Samsung Phone is good, but Windows 7 software/update problems"
4,Descent phone for the price
5,Excellent product and seller
1,Defective!!
5,Love this Phone
4,"Same as iPhone I and II, but you have to sync it first"
1,Do not buy!!
5,Samsung Focus I917 Unlocked Phone with Windows 7 OS
3,"Kicks off Wi-Fi a lot, and has minor quirks"
2,"SMOOTH,YES..RES/SCREEN QUALITY..NOOOOO GOOD!!"
5,Great phone!
4,Won't work with all networks!!!
1,this product come with a problem in the usb conection
5,Excellent phone after the OS upgrade
4,Good basic smart phone
5,Exelent Phone and OS
5,exceeded my expectations!!!
5,i FOUND SOMETHing LOL
1,Very dissapointed and feel like scammed.
5,Love It!
5,Samsung focus
1,Bad user experience.
2,Garbage
2,Phone died after updates added
4,It works well with Movistar Venezuela
1,Worst Product Ever
5,First Windows Phone Experience
1,Annoyng beeping sound
4,Exactly what i needed
5,Works Great!
5,Very good phone
5,Love It
5,"Great phone, lots of features!!! :)"
3,First Time User
4,Nice screen and camera
3,good but got burn
1,PHONE
5,Five Stars
5,love my focus.
5,Buena relacion precio equipo
5,Very good phone for this price
1,Updates: Great while it lasted
2,Malfunctioning after only 2 months
5,My new focus phone
5,Awesome windows phone!!!
2,Battery discharges
1,Marketplace issue
5,A Great Phone for the Price!
5,i love it
4,Four Stars
4,Four Stars
5,Love it!
5,Five Stars
1,"retuned,,, not even worked,, yes ..."
5,"Great Phone, Camara so so."
5,love the screen
5,Awesome phone.
4,"Everything was great, only one flaw"
5,It works better than described
5,Five Stars
4,Honest mistake
1,"NOT ""FULLY UNLOCKED"""
1,not working at all
5,Great phone
5,good phone at good price
5,Thanks
5,met my needs from a smartphone
3,Three Stars
1,Thing took a dump 5 months
5,Teenage Boys
1,Product is not good
5,Great Phone at a bargin Price
4,pretty cook phone
5,Yes People- We Have A Winner
4,Great Phone with no Outlook syncronisation
5,Excellent Smarthphone...! A really social one
4,Worth the price
1,False advertisement!
5,100% recommended. Thanks.
5,great phone!
4,Unlocked Samsung Focus i917
3,not so good signal
5,The phone is great
1,quit after one week
5,lots of heavy packing
5,My son loves this phone!!
3,It's okay
5,Five Stars
5,I love it. have tried other Samsung they do not ...
5,Five Stars
5,i love it
5,really good
4,Four Stars
4,"Great Phone, Highly recommended"
4,May arrive LOCKED.
1,Bad phone
5,samsung focus i917
4,excellent but poor battery
5,Nice & just right for me!
5,Great Phone
1,"Nothing against the seller, but this phone is so ..."
5,Samsung focus I917
3,Not the best
5,samsung focus windows phone
5,Great phone
5,Good Phone
1,blocked cell
4,Doesn't work on tmobile data network
4,Good buy
2,Acceptable phone but not matching its description
3,Windows 7
5,Nice Phone
5,Excellent
5,Brand New
4,Good phone for the price!!!
1,Samsung Windows is Pure Junk!
4,Samsung Focus Review
4,good
5,samsung i917
2,Two Stars
4,In the Zune zone.
3,I think its a good phone
1,Annoying noise on the phone.
1,I got an out of order phone
1,no good
1,Dont buy!
1,doesnt work
4,I Looks and Feels Great
5,Awesomee!!
1,the phone came locked
3,wifi problem
1,somethings not right with phones!
1,do not buy junk
3,"Samsung Focus I917 Unlocked Phone with Windows 7 OS, 5 MP Camera, and..."
1,Warning to buyers. The phone is NOT NEW !!
1,Bad phone
5,PCR
1,Not Brand New. Smells not good.
1,Absolutely unacceptable Quality
4,Great Phone and OS... Not so great app selection
3,Will not work with Straight Talk Tmobile Sim
5,FROM OWNER
5,Perfect Phone
4,amazing phone with very few problems
5,Best phone I've ever used. Period.
2,"Simple to use, the hardware needs work."
5,great phone
4,A hidden gem
4,Samsung Focus
1,this phone has problems!
5,Five Stars
3,SUCKY
2,Phone does not work correctly
5,Great Product!
3,Imp...
1,Didnt even turn on
5,some one have this item in white color?
1,"Terrible phone, terrible support!"
1,Junk
1,Be carefull changing your windows live ID
1,Refurbished piece
5,Very Satisfied
5,Versatile fununctionality
2,Samsung focus I917
3,"Windows Phone 7 is great, Samsung Focus is solid, DOES come unlocked, but has suspicious packaging"
1,Went dead on me after few months.
2,This is a great chocie if you want an unlocked smart phone!
2,It only lasted just over a year!!!
5,Great UNLOCKED cell phone at a GREAT price.
4,Very nice
5,Incredible phone
5,I love it. Excellent phone
4,Updated review -- It offers a lot for a reasonable price
4,Nice phone
3,Not the greatest phone
2,Would you like to spend 40 Minutes waiting for a phone with lots of battery left to turn on?
4,so much product for so little money
5,It's a windows
5,A Fast and Smooth Phone
2,Samsung I917
5,this phone is great for the money paid
1,No warranty for a reason!!!
5,AWESOME DISPLAY AND A TERRIFIC PHONE
5,review of samsung focus
4,"Awesome OS, Great Phone, Could Be More Rugged"
4,Great phone
5,Awesome Phone
5,Had exactly what I needed when I needed it!!!! Thank you.
4,Great phone for the price
2,really bad experience
5,Absolutely wonderful.
4,has draw back for straight talk
4,Still great even though the Win8 Phones are out.
5,Mom loves it
4,-Not sure why people who gave 1 star for not being unlocked
5,Best Phone for Monet
3,Could've given more stars but.........
5,This phone is awesome.
4,I917 : experience & suggestions
1,Unlocked???!!!
3,ok phone
2,the phone is nice except for 1 thing
1,The phone simply does not work
5,Ok
5,Wow!
2,doesn't fully function
4,Overall a good product
5,Much better than expected
5,Perfect :)
5,Samsung unlocked cell
3,Nice Product When it works
5,"works perfect, great Phone!"
5,Very nice and complete Cell Phone!! Very Fast and plenty of space it comes with 8GB
3,Great
3,Kind of stupid o/s though
4,A reliable phone
5,Excellent value for money world phone
5,excellent quality for the price...
5,For my Son...Smartphone update
5,Phone is perfect.
5,So far so good!
5,Works Great
5,Solid performer
4,Four Stars
3,Not bad
4,Nice!
1,Bad
5,Great
5,Really great phone
5,Surpasses Any Other Phone. All I Can Say Is Wow.
5,Excellent sellers! Excellent article!
1,One Star
5,Five Stars
4,Amazing phone for the price
3,a bit disappointed
4,Go Focus
5,nice phone
5,great phone
5,EXCELENT
2,Samsung over promises and under delivers.
2,Two Stars
1,One Star
1,Samsung Focus I917
4,Nice phone! A few quirks.
4,I like them all and in fact I just received the ...
1,One Star
5,Five Stars
5,amazing phone!!! you wont be sad at all!!!
5,Wonderful device
5,Five Stars
4,"Excellent Phone, OK Operating System"
5,this phone is ok
5,Awesome phone. No complaints.
1,One Star
1,The phone is defective
5,Excellence phone
5,Great Cell
5,Excellent first generation Windows Phone
4,GOOD BUY
5,Five Stars
5,i love it
1,JUNK!
1,Dissapointed
5,Five Stars
3,Not the perfect phone if you have Tmobile
5,samsung focus1917 unlocked
5,"Great phone for development,"
5,Windows Phone
5,Five Stars
1,One Star
1,One Star
3,Three Stars
5,excellent
5,Great Phone
2,unlocked... & sorta cool
5,Samsung Focus
2,"The phone is great, but get Android not Windows!"
5,excellent!
4,Great phone
1,One Star
2,Review
5,very handy
1,Do not buy
5,Great!
1,"The sim card holder cells were broken, I have to repair the phone"
1,Auricular doesnt work
5,Excellent phone
3,don't really like it
5,exactly as described
3,Did not come with data cable...
1,NOT UNLOCKED
2,disapointed
1,One Star
1,One Star
5,Five Stars
5,bueno
4,Good product
5,Ahead of its time
5,Seller Good. Windows Phone 7 great.
5,Samsun Focus I917 is the iPhone 4GS for the Windows User
5,Awesome phone
5,Perfect for all my daily activities
3,i can not make internet working and send mms
5,Excellent Entry
4,I like this phone
5,I'm amazed at how good this phone is
2,Do not buy!!!
5,Excellent First Gen Windows Phone
3,Won't Run Latest Windows Phone Software
5,Excellent phone
3,Mic does not work properly
1,this phone
5,Amazing and fast device! looks much better in reality!
5,Excellent Phone
4,Four Stars
5,Excellent Phone with the best OS
5,100% recommended. Thanks
1,dont buy
3,Does it uses a SIM card?
5,great phone
5,Phone
1,died after a month.
4,Great Phone!
4,Good value
4,Four Stars
2,Mr Freeze
5,Good Buy
4,EXTENSIVE review!!!!
1,Out Of Date
5,Five Stars
2,not worth
1,I would like to return it.
5,Five Stars
5,Great for use without data plan
5,Good Phone for Kids that you don't want to pay for a data plan.
3,Just a good phone
3,It's just a little too small...
4,good and pretty
2,stupid smart phone?
5,great phone for a great price
4,Great phone
5,Star II
3,Cover basic uses of a smart phone
5,Great value
5,Does everything it's supposed to
5,Five Stars
2,Two Stars
5,Five Stars
1,One Star
2,"Features were fine, but phone has an error"
5,Bought for Husband
1,Can't use no longer able to use phone with metro
1,I'm sure this is a great phone it just would not work for Metro pcs ...
4,Four Stars
5,Great phone
5,Great.
4,Samsung Freeform III
4,MetroPCS Samsug Freeform III
5,GREAT PHONE!
1,Horrible Phone
4,Samsung Freeform III
3,Decent phone.
2,"Good looking phone,wrong provider."
5,"for a ""dumb"" phone performs great"
5,great reliable phone
1,One Star
4,like it
5,Five Stars
4,Four Stars
5,Five Stars
2,not very good condition
5,Five Stars
5,I love it
4,Four Stars
4,$65 with $25 plan!!!!
2,The model number is the only upgrade
1,"Horrible battery, very poor coverage....."
3,I like this phone a lot except for one recent problem.
5,Great phone - even better customer service!
4,"Samsung Freeform III . . . Simple, Cheap and Solid"
1,Ripoff
2,Verizon said phone can't be activated
5,Great phone for price and meeting needs
1,DO NOT PURCHASE!
5,It's easy for her to use
5,"Nice phone, works with PagePlus"
5,A great buy and fast shipping!
5,My Mom Thanks You!
5,Flip phone
4,Verizon Samsung Convoy U660 for preexisting verizon customers
5,Gift for father
3,I prefer the original Convoy
1,Crap. The phone we received couldn't be activated because ...
2,Two strikes on used version
4,"The range is wonderful, I live where it's hard to get out ..."
1,Boo
5,Wife droped hers into a puddle .
5,Buying a used cell is a gamble. This was a winner.
5,Five Stars
5,Ideal for landscapers
5,Love it
5,Everything is perfect so far
5,Great replacement for the phone that went for a swim!
2,Phone
5,Easy set up / great phone
5,GREAT FLIP PHONE
3,Flip phone
4,Nice basic phone
2,NOT rugged
5,Five Stars
4,Good value
5,I'm getting deaf. It is apparently designed to be ...
5,it did everything my old one did and that is ...
5,Papaw likey
3,Spotty reception indoors- the person on the other end of ...
4,"Phone itself is great, the Verizon packaging was lousy"
5,Five Stars
5,Just Right!
4,Trashed by a Toddler
2,The phone was fine. The battery that came with it didn't work
5,Such a Good buy for a Cheap price.....but not a cheap phone by far!!
5,"Phone, not Phoney."
5,Perfect basic phone
5,Samsung Convoy 2 SCH-U660 Military Standard...
5,Had a phone just like this previously and when it died Verizon
5,Should be the only phone you can get. It's ...
5,Five Stars
5,Excellent
5,Five Stars
5,Five Stars
4,Four Stars
5,Convoy Phone
5,Five Stars
1,Not compatable with Verizon Network
5,Five Stars
5,Samsung Convoy 2
5,I am very happy with the basic phone
5,working mans phone
4,the phone itself is easy to hold
5,Five Stars
5,Love it!
4,Exactly as I expected it.
5,Love it.
5,Five Stars
5,Five Stars
5,Five Stars
4,Good
5,Five Stars
4,good phone
5,Five Stars
5,Works great.
5,Good phone
4,Four Stars
5,great
4,Four Stars
5,Five Stars
4,Sturdy and simple- the way I like my phones
5,Five Stars
5,Great phone and even better company to do business with..
1,One Star
5,Great phone if you don't need a smart phone
5,Used phone
4,Good Replacement Phone
5,Fantastic Phone
5,Five Stars
1,samsuug convoy flip phone
4,Four Stars
5,Five Stars
5,Just like my old one that I take a lot of ...
5,Great
5,samsung convoy 2
3,ok at best
5,Five Stars
4,Four Stars
5,ga gal
5,Just what I wanted.. If I did not ...
1,Battery does not work
5,Five Stars
1,"Within two weeks of receiving this phone, the LCD ..."
1,horrible. got it and plugged in for charge even ...
4,Four Stars
5,Five Stars
4,A Happy Customer!
4,Phone has good range. Was not new as advertised on web ...
4,Very pleased
4,... fancy but exactly what I paid for so I like it. Got it on time as well
5,convoy 2
5,User Friendly on line!
4,Four Stars
4,fast delivery and works great!
5,Five Stars
5,Five Stars
5,Five Stars
3,Easy
5,Five Stars
5,Five Stars
5,Five Stars
5,Five Stars
4,as expected
5,Five Stars
5,Five Stars
4,Great basic phone
5,Five Stars
5,Five Stars
1,One Star
5,Five Stars
5,Five Stars
3,Three Stars
5,Five Stars
2,Would not receive messages that had data connected to it like pics. I tried through several sources to get ...
1,Bad sale
5,It was better than I thought it would be
1,It arrived dirty (debris in the battery compartment) and missing the cover ...
5,Five Stars
5,GREAT
1,When I tried to activate the phone with Verizon They informed me that the phone had been reported stolen
1,never buy a used phone from a stranger
2,Two Stars
5,The phone itself is wonderful......... The story around it SUX THOUGH..........LOL
2,3 big problems in too short a time
4,Good Basic Phone
1,Not the quality we expected
1,NOT an improvement on the Convoy U640
1,There does't appear to be a way to lock the external buttons.
1,"Poor reliability, annoying design flaws"
5,Just like new!
5,Samsung Convoy
1,junk
5,"and though the iPhone 4S has some cool features, there are still times when I miss ..."
4,Great product for heavy use applications.
1,Upon opening I was grossed out...
5,Sometimes more bells & whistles is not the best product.
5,photos of phone would have been nice to view prior to purchase but the description was ...
5,Love the fact that I can get mad
5,I had a phone just like this and so after I dropped the phone and ...
5,Best cell phone ever
4,Four Stars
3,... how the menu is screwy hard to use but better than what I had
5,Great Phone
4,perfect basic phone battery life is better than my I ...
5,Awesome phone. I love this flip phone which replaced ...
5,Five Stars
5,Works as described. No problems.
5,Five Stars
5,Five Stars
5,Five Stars
5,Convoy Cell Phone
2,Two Stars
5,and best flip-top cell phones available today
5,Five Stars
5,Basic Phone
1,dont waste your money
5,I had the first generation of this phone and i ...
5,Five Stars
5,good basic phone
5,"good quality, works well"
5,Five Stars
5,I've ordered more of these phones and they are great. All in very good conditions
2,This U660 replaced an older U640. The 660 does ...
5,Five Stars
5,great phone not that smart
5,Five Stars
5,Five Stars
5,Five Stars
5,Five Stars
5,So far so good
5,Don't drop cell in water!
3,Phone themselves ok
5,Five Stars
3,Not as rugged as I'd hoped
4,recommended.....with reservation
3,good phone
5,Works great!
3,Three Stars
5,very nice phone
4,convoy phone
4,has good audio clarity and volume
5,Like
4,but a good solid phone
5,Five Stars
5,Thanks
5,works good.
5,Five Stars
5,Five Stars
3,no answer
5,Five Stars
5,Best phone w/no data contract
5,... the one he had but seems to be working fine. thank you
5,Five Stars
4,Good strong phone
2,Bad phone
5,Five Stars
1,One Star
4,Samsung convoy 2
4,Great flip phone.
4,Four Stars
1,One Star
5,it has been a great purchase.
1,One Star
4,No problems here
3,very good
4,It is different.
4,Convoy 2
3,Three Stars
5,Great deal
4,Great phone and great seller
3,didn' like
5,Much better than my old phone
5,Product arrived in perfect condition. I have not activated it yet
5,Five Stars
5,Samsung
3,Rugged little phone.
4,good phone
4,but works great with my dad's hearing aide's blue tooth
5,Five Stars
3,its good but for what I needed
1,Convoy 2? Maybe?
5,I love this phone!
4,Great for the klutz/arthritic-
3,No So Good phone
1,Awful performance
3,Convoy U660
5,My free version up grade.!
3,"Not quite the original Convoy, but maybe better"
2,Less Better Than Convoy I
5,Good durable!
1,DON'T DON'T DON'T
5,Bullet Proof!
4,checking it out
5,Great sturdy phone with a good camera
1,What a piece-o-crap
4,Great Android Starter Phone
5,Very lightweight cellphone
4,:)
5,Samsung Replenish Boost Mobile Cell Phone
4,Good price. First experience with Android
5,Good quality made phone
5,Samsung replenish android (boost mobile)
5,Love this phone!
2,Andriod phones r better with large screens
5,Perfect
4,Great bang for the buck....
5,I Reccomend!!
5,Five Stars
1,junk
5,Five Stars
3,Great bargain
5,So loving this phone
5,Love my phone!
1,Unhappy in Ny
5,good
4,Great phone
3,lower end of the three stars
4,first android phone prev had blackberry
5,Amazing phone
5,Met my expectations!
5,Samsung Replenish
5,love it
5,Received the brand new item never opened works great!! Love the phone and seller shipped fast ...
1,wrong phone than posted
3,phone needs more updating
5,Five Stars
1,One Star
2,"R This phone says Sprint, not Boost Mobile."
3,Three Stars
5,Five Stars
3,blacc
4,Four Stars
3,good
1,ok not what i exspected
5,Samsung Replenish Android Phone (Boost Mobile)
2,not smart phone
1,I hate this phone!!!!
5,BEST PHONE EVER
3,Dropped Calls / breaking up
1,not worth $80
1,AVOID AT ALL COSTS!!!
1,this phone is no good
1,PIECE OF JUNK
5,Great Phone
1,AVOID AT ALL COSTS!!!
4,Samsung Replenish is working great for me...
4,Only Phone That Works For Me
5,I'd buy it again
4,Awesome starter phone/basic
3,Samsung Replenish
4,good starter phone
5,This phone is great!
3,tiny yet practical
5,nice
4,this phone was great! it was worth the money
5,Five Stars
5,OMG love it
1,One Star
4,Four Stars
5,Five Stars
4,perfect for me
1,One Star
3,Good Android Phone without a camera flash
5,Love Android phone.
3,replenish
5,I like this phone! Thank you!
4,Samsung replenish
2,Replenish cell phone
4,Recycling is cool!
4,Recycling is cool!
2,Poor warranty service from Samsung
5,Perfect.
5,Awesome for a Starter Smart Phone!
1,"'I wish the phone was smarter, and stronger' -- Written by an Android Lover and Boost Mobile Fan / Subscriber"
3,it was good then & when bad after 6month
3,Needed updating
2,Good phone at first BUT
2,... cuz hes old phone was junk and its a cool phone for the great price
2,Two Stars
1,"Not a US version, no 4G capability, buyer beware of non Amazon provided product, no warranty, insist on US version"
4,"Great phone, nice battery and a great display (actually the best for the price)"
5,The best money I ever spent on a phone.
4,Small user friendly
4,Excellent but with some sound glitches
5,Little Icons are not for Me
4,It is an awesome cellphone
5,very nice
5,ABSOLUTELY AWESOME!!!!!
4,Excellent Africa phone
4,"Does what it's supposed to, and does it well"
5,Excellent Phone
5,Great OS and great phone
5,... it was supposed to be and in a very good packaging. The item is very good
5,Great Windows Phone
5,Amazing little phone!!
5,great phone
1,RETURNED
5,Just got the phone on 04/06/13 (T-mobile User)
1,orderinstant(USA) who is amazon seller is a cheater
5,Good
5,Windows OS Rules!!!
5,samsung is great!
5,Excellent phone.
5,good
2,not unlocked
5,Fantastic!
4,Great phone
5,Purpose Served
5,Phone is UNLOCKED & perfect for the price
1,One Star
4,Excellent Buiness Phone!
5,Very good price/features balance
5,Just what it should have been.
4,Four Stars
5,Great phone
3,Good Phone but Windows 7.5 sucks
5,Perfect smart phone for the price.
5,Excellent phone
5,The best looking windows phone hands down!!!
5,Five Stars
1,very disappointed
5,Good Phone & Unlocked
4,"Good phone for a good price, but this is NOT a unlocked phone"
2,MY Review
1,"Samsung Focus Flash I677 8GB Unlocked GSM Phone with Windows 7.5 OS, 5MP"
2,Its not Unlocked
5,Excelente telefono!!!
3,"Very Good Phone, But . . . . . ."
1,this phone is locked
2,Unable to download picture messages
1,no from the usa this phone
5,Great case! Great price!
5,"Speedy, lightweight smartphone that anyone can use!"
4,With a little help from AT&T
1,No external memory can't save items
5,Awesome Phone
3,Great phone poor battery
1,liked it at first then ran into issues
1,"Hate it. I can get to anything, un-useable/flawed screen.."
4,Awesome basic smartphone
1,Worst Phone
5,Five Stars
1,3 out of 3 phones had manufacturer defects
5,Great
5,Feedback on Foucs Flash
5,This phone is unlocked
2,defective
1,Needs to be removed from listing or they should give proper description and title
5,"Great phone, great price"
5,"Good phone, meh! Operating system."
3,Adequate
5,nice semi basic phone
5,Good basic Windows Phone
1,Poor Quality Phone!
4,A few blemishes
2,not great.
5,IM IN LOVE!
3,Good but could be better
3,couldnt get or receive pic msgs
5,Un Gran Windows Phone 7 rápido y compacto
4,nice phone
5,Great Looking and Fast...Very Pleased!!!
1,Worst purchase ever
3,Typical windows phone
4,Nice Device
4,Works fine.
4,Good Smartphone!
5,Five Stars
5,Windows 7 is the best
5,"excelent phone and conditions but, wheres the charger?"
5,Exact phone my son wanted
4,Samsung Focus
2,its ok
4,Holding an iPhone and Android this one is the perfect of both worlds
1,Purchased 4 refurbished From day one Speakers on one are ...
5,best phone ever!
4,... he loves the phone but he can't get things like Instagram and a few others besides that great phone ...
5,I bought this phone 2 years ago. It is ...
5,Great phone and software
2,Very disappointed.
3,Three Stars
4,Hot Spot Works Great! I Just Needed A Much Bigger Display Because ...
5,Estoy muy feliz con mi compra
5,cool
5,Good One
1,One Star
5,Five Stars
3,Three Stars
5,very nice phone
5,It is a great phone
5,cute
1,Incoming calls were so low in volume that they could ...
2,has some major issues
3,Windows phone not all that great
5,Excelente e increible
1,The phone is locked!!!
3,"Speedy phone, lacks support"
2,Trouble with OS
1,"Poorly designed, Windows system cumbersome"
2,"good phone, bad OS (WP 7.5 is a prison)"
5,Solid Phone
1,this is my first time using an android phone and ...
2,Can't Wait For Another Upgrade
4,Got this phone for my upgrade from Sprint
1,"Dear god, don't even bother."
4,Replenish
4,Perfect Low Cost smartphone For my 12 Year-old boy
1,Don't every purchase a phone from this fella
1,Total Fail.
2,Not for Florida!!
3,Great for a temporary measure.
2,Not enough space
4,it is a phone and thats about it.
4,Mother likes it
4,Pretty good for the money
3,Good phone except......
5,nice phone!
4,Plain and Simple Phone
4,Good for a Grandma
4,Great cheap-o phone
3,Ok for the price
1,never worked
4,Good basic cell phone
5,Perfect for someone who doesn't want to be too connected
4,Pretty Good.
5,Perfect basic phone
2,Unreliable
5,Excellent
4,Very Usable
5,Good reception
1,The product description is misleading
5,Five Stars
2,I am very disappointed with this phone is just to outdated and my ...
4,Perfect 'Throwaway' Phone
5,House
5,My dad can hear! Only uses phone for calling ...
4,Get what you pay for
5,My dad loves it
4,This item was perfect. Easy to install and it performed perfect
5,Easy and Good
5,Working great! My mom still using
5,Great little cell phone
5,Reception is just as good as all my other phones and calls are clear
4,"Does its job, but battery's not great"
3,This is a good phone if you just need talk and text
4,Four Stars
5,Phone perfect for needs!
4,"like the phone, but boy did i have hard time with a corded headset"
5,This product has everything for what the phone is worth
5,Combat Medic Approved
5,Purchased for my grandfather and functions as expected.
5,A delight
5,A good phone for the money I think
5,Ended up with 3 of these for children
3,battery dies a little too fast but overall it's good for the price
5,Its a great backup phone
2,Received without battery
5,Loved it
5,Great experience.
3,Simple Phone
5,Great phone.
4,Good barebones phone
5,Great phone
5,"Good, cheap phone"
5,Simplicity at last/
5,Five Stars
3,Ok for emergency type cell
2,Two Stars
5,Five Stars
5,Love it! Simple and battery lasts forever
4,GoPhone
5,Not fancy but works
5,international
5,Bought it for my daughter
5,Samsung a157 Prepaid GoPhone (AT&T)
5,Awesome
5,Five Stars
4,Adequate for its purposes
5,Good and inexpensive
3,Three Stars
5,Five Stars
5,Good price
4,Performsvascespected
5,Great for the price I paid!
5,"Gets the job done and mom is happy not having to ""learn"" another phone"
4,Four Stars
5,Five Stars
5,I think this is a great phone. I don't want on the internet or ...
5,prepaid cell phone
4,Does the job
4,I LIKE IT
5,Great Buy
4,Surprisingly good.
4,awesome phone for the money
5,easy to use
5,Great replacement phone for AT&T customers
4,great for emergency preparedness
2,Not worth it
4,Samsung a157 Prepaid GoPhone (AT&T)
5,Five Stars
4,Four Stars
5,Five Stars
5,friend happy
3,Three Stars
3,Poor sound
5,"Cute, and Easy to Use"
5,Nice pre-paid phone
1,Useless if it doesn't work
5,Good simple phone for grand mom
5,Five Stars
5,GOphone
4,would like to have louder ring tone i.e.more volum
5,I love it.
3,Phone Okay but I can't Use it!
5,served purpose
5,i love it
5,I'm loving it.
5,Five Stars
5,I use it for emergencies.
4,Excellent basic phone
4,compact and reliable.
5,"Its a good, solid phone."
4,Four Stars
4,Simple function and stabilize signal
5,It lasts 10 days on a single charge!
5,Simple and Good
3,Three Stars
5,Five Stars
5,Samsung
4,works for me
5,Five Stars
5,samsung phones
3,"Okay, not good or bad"
2,Not so good
4,Samsung Cellphone
5,Five Stars
3,It works
1,Bad phone
4,Cell Phone
3,A Senior Tackles Go-Phone!
4,Flip Flop! - But Acceptable
5,Good basic phone for prepaid service
3,Three Stars
3,Okay
1,fail fail fail fail fail
1,you get what you pay for :(
1,Doesnt work
2,Basic phone
5,Good one
3,"Lacking many features, but decent for 20 bucks"
1,Defective Product
1,phone could not be activated by AT&T.
1,One Star
1,One Star
1,don't get this phone
1,One Star
1,no good
5,Perfect little phone
1,One Star
2,Not a good emergency only phone.
2,bad phone
2,Phone not good
1,Do not buy this phone.
2,AVERAGE FOR THE PRICE
3,Wasn't what I was looking for
3,... is nothing wrong with this phone and it works fine. But I don't think I will get the ...
1,Bad buy
1,I hate this phone!
3,Samsumg a157 GoPhone
1,ATT plan
4,"Very nice, reliable basic phone"
5,"Great, no frills, dependable phone!"
3,Nice phone owned it for awhile miss it
5,Better then smartphonesL
5,"Best ""No-Frills"" phone on the market!"
3,A pocket phone
5,SMART SIMPLE GOOD PRICE
1,Dead after 3 months
4,Four Stars
5,The best basic phone in the market
5,Really Simple and Good!!
5,Price**
5,Samsung a157 is perfect for voice calling
3,A157 GO PHONEh sim card? what is a prepaid sim card?
5,I LOVE THIS PHONE
3,Sim card included?
1,does not use ATT prepaid large sim cards
4,It's OK for what it IS and that is bare bones basic
5,The Samsung a157 Gophone
5,DON'T BUY A CELL PHONE ANYWHERE BUT AMAZON-- ESPECIALLY NOT THE CELL PHONE COMPANIES - RIP OFFS
5,Great Emergency (or basic talk) Phone
5,simple.good phone.
1,"It's an old phone, not being made any more."
4,Fits The Bill
4,Good for the price
4,"Great, annoying address book"
5,The best phone is an AT&T Go phone
5,Nice
5,Good Replacement Phone
5,"Good back-up, no-frills phone"
5,Samsung cell phone
4,Beater phone
5,For the price (cheap!) - it's great!
5,Works for me
5,Great phone for cheap prepaid carriers
5,SO AFFORDABLE!
5,Good Five Star Phones
5,"Had an issue with the SIM card, however after ..."
5,Goog value and great mobile phone
4,VALUE for MONEY
5,WAS EXACTLY WHAT WE WANTED AND WERE PROMISED!!
5,Simple & Cheap!
5,So Far So Good
5,The screen is easy to read
3,this is one of the better ones still available
5,Five Stars
5,Five Stars
5,It does what it says! Good value
5,Easy. Phone is better than described
5,Easy to use and dependable.
5,Five Stars
5,Good simple phone for elderly
5,Five Stars
5,As Advertised...
5,Just like going back to basics.
5,Good Choice
5,Five Stars
5,good phone
5,"No-frills, but simple and effective!"
5,Samsung a157 Prepaid GoPhone (AT&T)
4,Nice Phone
5,Simple
4,Samsung 157 GoPhone (AT&T)
4,Simple phone
4,Nice simple phone
5,Great basic phone.
3,Samsung a157 GoPhone
5,Five Stars
4,Didn't realize
4,its a basic phone
5,Five Stars
5,perfect for a kid who loses his phone all the time
4,Nice Simple Phone
3,It's Okay As An Emergency Phone
5,Great Value
5,cheap and good
5,Excellent value
3,Three Stars
5,Five Stars
4,Four Stars
4,Four Stars
4,It works
4,Good backup
3,Ok phone
5,Great value
4,Four Stars
5,Five Stars
5,Excellent Barry
3,Easy to Use
5,Five Stars
4,"I like this phone and I give it four stars out of five stars,"
5,Don't drop the phone
5,great little phone
5,Five Stars
4,Great phone - and that's all I wanted!
4,Base Flip Phone
5,Samsung a157 GoPhone
5,Good phone at an excellent price
4,Samsung A157
4,Four Stars
5,Fit for purpose.
1,Zero Stars
1,Already quit working
4,Nice little Phone
4,Inexpensive Phone for a Cheapskate
1,Will not stay on
2,Battery arrived DOA
1,Worked for about two weeks. Then Died.
5,As advertised
3,"Beware, no camera!"
4,Good Replacement Phone
1,Don't Be A Samsung Sucker
4,handles the basics
3,PHONE
1,No battery life on standby
3,Three Stars
2,Did not contain a sim card
3,Three Stars
1,A total scam unless you use it a lot.
2,Don't lock it
1,Piece of Junk
1,AT&T took me for a major ride on this one ...
5,Haven't activated ... but like one I used to own
